Cd Cl SizeFieldDecay GridCells con_dim farfield_dim
0.03757408051 0.3794019966 0.5 2697 5 100
0.03170132357 0.7376506865 0.5 3013 10 100
0.02101167106 0.8205049747 0.5 3189 15 100
0.01580214598 0.8618039802 0.5 3355 20 100
0.01398138957 0.8691229910 0.5 3493 25 100
0.01380225705 0.8735802877 0.5 3591 30 100
0.01386408214 0.8835436471 0.5 3681 35 100
0.01495001332 0.8803437873 0.5 3799 40 100
0.01309647720 0.8836079980 0.5 3929 45 100
0.01290771216 0.8871813811 0.5 4065 50 100
0.01429393475 0.8827346300 0.5 5147 100 100
0.01340299364 0.8835756413 0.5 7393 200 100
0.01291493741 0.8874726920 0.5 13915 500 100
0.01257159371 0.8874543479 0.5 19355 750 100
0.01333988943 0.8870413132 0.5 24763 1000 100
0.01386663237 0.8824460325 0.5 25439 1500 100
------------------------------------------------
0.03068967755 0.4362079874 0.97 3735 5 50
0.02667681363 0.7427929158 0.97 5811 10 50
0.01715158443 0.8344364644 0.97 7621 15 50
0.01349369103 0.8749917451 0.97 8929 20 50
0.01130054014 0.8709696906 0.97 9861 25 50
0.01150783561 0.8886817867 0.97 10713 30 50
0.01091189782 0.8902229470 0.97 11403 35 50
0.01075803270 0.8884577749 0.97 12055 40 50
0.01062791442 0.8902298974 0.97 12609 45 50
0.01080909119 0.8984994217 0.97 13171 50 50
0.01068985921 0.8982174990 0.97 18047 100 50
0.01019359128 0.8903893608 0.97 22441 150 50
0.01056421812 0.8979215053 0.97 26725 200 50
0.01027753043 0.8916857194 0.97 31139 250 50
0.01025521104 0.8948108412 0.97 35363 300 50
0.01074138883 0.8931150519 0.97 39757 350 50
0.01045729832 0.8842047151 0.97 43939 400 50
