"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 1.868553667329603e-04, 9.823874347339191e-04, 1.436513647578967e+00, 4.450879582027238e+01, 2.408553970112179e+02, 3.174893448338713e+05, 1.186432443424280e+05, 2.877157278629246e+02, 5.014268122573748e-01, 4.594456602820086e-01
1, 3.821326530953081e-04, 2.009052902070847e-03, 1.423015104685070e+00, 5.156110373036624e+01, 2.663435285738868e+02, 3.159844544706052e+05, 1.160499108920339e+05, 2.840963451731541e+02, 5.642091491758958e-01, 3.906456262896078e-01
2, 5.861929091170758e-04, 3.081894613547417e-03, 1.310946481536942e+00, 9.849319391148642e+01, 2.855187947878330e+02, 2.942333806666826e+05, 1.037764010091305e+05, 2.757680754229051e+02, 6.920599783456773e-01, 6.503462666228040e-02
3, 1.128613573921755e-03, 4.080887727402123e-03, 1.232123532757154e+00, 1.467332955283613e+02, 2.645932340150865e+02, 2.778126331673793e+05, 9.626611468336119e+04, 2.721758180330718e+02, 7.424687105856967e-01, -1.342100768782786e-01
4, 1.722860769648959e-03, 5.114404029605416e-03, 1.229695305756450e+00, 1.554271064339163e+02, 2.702844930347973e+02, 2.779658264350854e+05, 9.537569973980526e+04, 2.701908063368934e+02, 7.694434639527855e-01, -1.578324068083841e-01
5, 2.343650471737794e-03, 6.194083129417724e-03, 1.128802557818910e+00, 1.906762058957741e+02, 2.645128238940787e+02, 2.582488875071405e+05, 8.446110557469947e+04, 2.606568378925500e+02, 8.925142938478807e-01, -4.473919501283586e-01
6, 3.222110776299285e-03, 7.148837721135412e-03, 1.056191885695290e+00, 2.168067936694777e+02, 2.298450221216036e+02, 2.425496722296928e+05, 7.811536463892132e+04, 2.576463432991135e+02, 9.296840896960934e-01, -6.157417595299047e-01
7, 4.166071322475345e-03, 8.126107128128604e-03, 1.073773147332025e+00, 2.240592780338313e+02, 2.304360248559734e+02, 2.466028399411504e+05, 7.939995419031855e+04, 2.575953731770949e+02, 9.303079446427468e-01, -5.816621448205120e-01
8, 5.151859853583765e-03, 9.146680474249505e-03, 1.019292829931469e+00, 2.401696246217023e+02, 2.203268316304822e+02, 2.359323251963628e+05, 7.352997735525397e+04, 2.513019209141637e+02, 1.006163109182458e+00, -7.373901348812083e-01
9, 6.306084106088282e-03, 1.006903306342181e-02, 9.552766150616341e-01, 2.517224039526321e+02, 1.925419046349800e+02, 2.221817202204991e+05, 6.784494552471652e+04, 2.474108247072503e+02, 1.052103731706596e+00, -8.882116125933837e-01
