"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          10,      -2.625890715,     0.01295587528,     -0.2715262037,       2.826887491,       -6.27669086,     0.01162084125,      0.8348076828,                 0,                 0,                 0,      0.1193402263,     -0.0220365144,      0.8345976894,                 0,       71.83711272
          0,           0,          11,      -2.696100136,    -0.03518943254,     -0.3494076544,       2.757277807,      -6.341780163,     0.01114339766,      0.8404810844,                 0,                 0,                 0,      0.1192632733,    -0.02274224318,      0.8402472367,                 0,       75.42413096
          0,           0,          12,      -2.761573247,    -0.07793464797,     -0.4227899781,       2.692477592,      -6.403590966,     0.01076420081,      0.8447130791,                 0,                 0,                 0,      0.1191639226,    -0.02329170744,      0.8444605084,                 0,       78.47429584
          0,           0,          13,      -2.825042557,     -0.1204118633,     -0.4933878288,       2.629309611,      -6.465692193,     0.01050211775,      0.8483503049,                 0,                 0,                 0,      0.1192944239,    -0.02370018021,       0.848084215,                 0,       80.77897476
          0,           0,          14,      -2.882877685,     -0.1627303815,     -0.5591262552,        2.57099225,      -6.526462894,     0.01035661521,      0.8520363427,                 0,                 0,                 0,      0.1197617969,    -0.02399413464,      0.8517613928,                 0,       82.26976916
          0,           0,          15,      -2.933139084,     -0.2030890628,     -0.6171495592,       2.520035133,      -6.580994145,     0.01029727468,      0.8559357845,                 0,                 0,                 0,      0.1204550254,    -0.02421059856,      0.8556552741,                 0,       83.12255532
          0,           0,          16,      -2.982488855,     -0.2421478235,     -0.6663873107,       2.470486601,      -6.628055564,     0.01027169263,      0.8597516766,                 0,                 0,                 0,      0.1211250864,    -0.02438996388,      0.8594670341,                 0,       83.70107124
          0,           0,          17,      -3.034756041,     -0.2812826218,     -0.7099816979,       2.418583871,      -6.666459335,     0.01023131465,      0.8629953024,                 0,                 0,                 0,      0.1215542782,    -0.02456104723,      0.8627063966,                 0,       84.34842754
          0,           0,          18,      -3.088695849,      -0.319420046,     -0.7539973285,       2.365172872,      -6.695869624,     0.01015439414,      0.8653308905,                 0,                 0,                 0,      0.1216837029,    -0.02473204388,      0.8650369864,                 0,       85.21738263
          0,           0,          19,      -3.142104239,     -0.3551421568,     -0.8022873434,       2.312214288,      -6.726130819,     0.01005313766,      0.8668023065,                 0,                 0,                 0,      0.1216245481,    -0.02489252524,      0.8665031254,                 0,        86.2220668
          0,           0,          20,      -3.194084113,     -0.3894670288,      -0.855956093,       2.260728211,      -6.763195602,    0.009955781479,      0.8677482204,                 0,                 0,                 0,      0.1215456745,    -0.02502792848,      0.8674443465,                 0,       87.16023169
          0,           0,          21,      -3.243637634,     -0.4234871757,     -0.9146940058,       2.211634954,      -6.810493291,    0.009887635049,      0.8685891176,                 0,                 0,                 0,       0.121575626,    -0.02512991289,      0.8682818137,                 0,       87.84599282
          0,           0,          22,       -3.28934445,     -0.4574768227,     -0.9783048165,       2.166104455,       -6.86680729,    0.009860541391,      0.8696269637,                 0,                 0,                 0,      0.1217629316,    -0.02519881614,      0.8693177244,                 0,       88.19261835
          0,           0,          23,      -3.332536147,     -0.4908353252,      -1.042350521,       2.122699855,       -6.92887903,    0.009872373672,      0.8709671851,                 0,                 0,                 0,      0.1220834677,    -0.02524101269,      0.8706573336,                 0,       88.22267208
