"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.868553667329603e-04, 9.823874347339191e-04, 5.020997255695627e-01, 1.582328376281009e+01, 8.319339395469351e+01, 1.038967809848013e+05, 1.105902191712261e-04, 3.870210174805563e+04, 2.685189323076540e+02, 5.134276275178786e-01, 4.436911199392400e-01, 1.692986620368039e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.982648041690885e-06
1, 4.068718588439906e-04, 2.139118659869153e-03, 4.997062805903662e-01, 2.248454409152072e+01, 9.518280969028343e+01, 1.041070442124277e+05, 1.085647925183369e-04, 3.781443995386088e+04, 2.636168765940040e+02, 6.013115400220237e-01, 3.718609261219071e-01, 1.668422658700098e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.754336450825211e-06
2, 7.723019763714946e-04, 3.461189649935140e-03, 4.513214039361653e-01, 4.052320681771604e+01, 9.411628120793216e+01, 9.487029310236104e+04, 9.708854849538564e-05, 3.329511182722950e+04, 2.569951294778152e+02, 7.064761813342809e-01, 6.153832065275944e-03, 1.634900805590862e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.236721791762876e-06
3, 1.585088218032872e-03, 4.874789641661824e-03, 4.244328216996875e-01, 5.552913538001373e+01, 9.259738609949206e+01, 9.000714703072123e+04, 9.177371094182508e-05, 3.050952267403908e+04, 2.504129575458377e+02, 8.019021261860471e-01, -2.192579295737859e-01, 1.601181391066071e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.506210402196203e-06
4, 2.593216761697359e-03, 6.497752373128757e-03, 3.975832658016125e-01, 6.922423950226796e+01, 8.724159147119191e+01, 8.508823028113769e+04, 8.636684608149441e-05, 2.779605033144780e+04, 2.435484320543692e+02, 8.953551735985774e-01, -4.388339500367573e-01, 1.565580767155821e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 9.832896434551328e-07
5, 4.158880829911600e-03, 8.118662909795299e-03, 3.706845916718421e-01, 7.943359436427019e+01, 7.753105373351413e+01, 7.992345667424594e+04, 8.074012381615388e-05, 2.532181194058442e+04, 2.379691122006772e+02, 9.682891784498501e-01, -6.390509970340627e-01, 1.536309468270638e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 6.057379977844358e-07
6, 6.092756217580082e-03, 9.913219797536441e-03, 3.563348579155365e-01, 8.713253628224672e+01, 7.113036940077653e+01, 7.733525652650029e+04, 7.813220922955090e-05, 2.383313673593015e+04, 2.329985623347783e+02, 1.031547176772344e+00, -7.595156032396034e-01, 1.509971856056374e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.792164898935191e-07
7, 8.600888734784672e-03, 1.174514304728969e-02, 3.364771063839281e-01, 9.183402646790219e+01, 6.122950658336110e+01, 7.340886128183056e+04, 7.388136396016148e-05, 2.212231432939329e+04, 2.290368613200871e+02, 1.081214550064793e+00, -8.979565115362804e-01, 1.488800601844872e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.192012072953914e-07
8, 1.169733995304338e-02, 1.364976621140181e-02, 3.279624762571769e-01, 9.590708981749303e+01, 5.538677416392560e+01, 7.185270201676807e+04, 7.237079847230932e-05, 2.126103932785957e+04, 2.258347032468003e+02, 1.120935805892378e+00, -9.676514682132353e-01, 1.471570071549335e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.750239657804909e-07
9, 1.543787990449740e-02, 1.569368278002999e-02, 3.165094292884156e-01, 9.851391477223366e+01, 4.867078776140042e+01, 6.963707069247498e+04, 7.008592784818262e-05, 2.022545874306432e+04, 2.226086691779498e+02, 1.160689670019262e+00, -1.051451350787645e+00, 1.454102542100581e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.178828326849531e-07
10, 1.998408522736391e-02, 1.774385053333001e-02, 3.073732935104883e-01, 9.985895348065760e+01, 4.219287538787282e+01, 6.779830862625536e+04, 6.847419176760751e-05, 1.947256325899077e+04, 2.206923799126027e+02, 1.184262992174893e+00, -1.112376163479688e+00, 1.443674497801277e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.806531502361099e-07
11, 2.539164027240564e-02, 1.989927335306355e-02, 3.064279371878552e-01, 1.016078024917819e+02, 3.818903790632138e+01, 6.763841626639452e+04, 6.863526596604627e-05, 1.936510937690442e+04, 2.201516485845224e+02, 1.190916843582470e+00, -1.121071404422990e+00, 1.440724855759556e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.812283126052732e-07
12, 3.178393885851631e-02, 2.217885376616852e-02, 3.064400233341452e-01, 1.030419051761015e+02, 3.462663359815076e+01, 6.765758986768588e+04, 6.867679148336856e-05, 1.935083318185246e+04, 2.199806736125388e+02, 1.193054737093246e+00, -1.122226643799364e+00, 1.439791549903342e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.820434316895128e-07
13, 3.930716148291147e-02, 2.457552891864428e-02, 3.062257037490702e-01, 1.041660250826321e+02, 3.132438283231239e+01, 6.762630532777755e+04, 6.865783014838396e-05, 1.932303381351629e+04, 2.198183875197922e+02, 1.195095210716053e+00, -1.124476187520458e+00, 1.438905383960497e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.816712236575678e-07
14, 4.811827462214804e-02, 2.709086788449160e-02, 3.058396368723874e-01, 1.049886432736721e+02, 2.824058694498170e+01, 6.755101141964643e+04, 6.862302386137427e-05, 1.929076815557402e+04, 2.197283515060741e+02, 1.196260482930848e+00, -1.127087146422593e+00, 1.438413618768217e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.805822845867532e-07
15, 5.839307941303944e-02, 2.970938801064590e-02, 3.061130842697458e-01, 1.057021700371162e+02, 2.554941045681409e+01, 6.760571603314987e+04, 6.872859156096032e-05, 1.931591225094193e+04, 2.198182145088694e+02, 1.195229325721334e+00, -1.125052469189157e+00, 1.438904439080490e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.821503502288125e-07
16, 7.031046024963830e-02, 3.245496593299976e-02, 3.069688959984271e-01, 1.064407449633588e+02, 2.325667357692007e+01, 6.778635155558310e+04, 6.894779315148157e-05, 1.938052899502327e+04, 2.199386728142685e+02, 1.193824757798057e+00, -1.119823638477323e+00, 1.439562230964300e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.862744910262371e-07
17, 8.406825422553690e-02, 3.531929914514116e-02, 3.072214260223142e-01, 1.069766870959354e+02, 2.101627768720820e+01, 6.784144512849950e+04, 6.900025038905713e-05, 1.939903470116208e+04, 2.199677256899609e+02, 1.193527615325955e+00, -1.118326144198115e+00, 1.439720857936228e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.873883567269211e-07
18, 9.987483591651253e-02, 3.826310435453363e-02, 3.072210060955821e-01, 1.073589227575259e+02, 1.887567250368489e+01, 6.784102818135636e+04, 6.901023231976456e-05, 1.940111383365193e+04, 2.199916018915772e+02, 1.193290440167615e+00, -1.118157899388331e+00, 1.439851213791687e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.874446070948560e-07
19, 1.179310598404457e-01, 4.127300578721991e-02, 3.074515933370745e-01, 1.077286255026013e+02, 1.694251391359041e+01, 6.788974965378319e+04, 6.906289143384952e-05, 1.941971908501388e+04, 2.200374182257914e+02, 1.192786781135795e+00, -1.116652349842220e+00, 1.440101338092323e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.884775437789955e-07
20, 1.384292240523443e-01, 4.432656134189526e-02, 3.075616992780085e-01, 1.080916147772166e+02, 1.515266471701845e+01, 6.792110578065718e+04, 6.907612063436377e-05, 1.942144360524641e+04, 2.199781785357000e+02, 1.193567465008056e+00, -1.116512800496563e+00, 1.439777927634902e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.890157618515988e-07
21, 1.615422369116639e-01, 4.738658131333973e-02, 3.068796358803627e-01, 1.082815869393084e+02, 1.332213268091563e+01, 6.779092794331472e+04, 6.889942525816636e-05, 1.935933558575402e+04, 2.197620629872519e+02, 1.196254686746683e+00, -1.121538623514885e+00, 1.438597756769016e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.859113827628462e-07
