"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -1.417336523,      0.9607785601,       1.077056258,       4.036055538,      -5.022274252,      0.1237254328,      0.3303408096,                 0,                 0,                 0,      0.1070925282,      0.1103101129,      0.3350592667,                 0,       2.669950731
          0,           0,           1,      -1.604396462,      0.8875648258,      0.9620604894,       3.846211302,      -5.075479891,     0.04788278777,      0.5376396902,                 0,                 0,                 0,      0.1516994536,     0.02617367263,      0.5391327636,                 0,       11.22824537
          0,           0,           2,      -1.603423558,      0.8680033132,       0.922610972,       3.844372579,      -5.192729847,     0.02905621786,      0.6801485652,                 0,                 0,                 0,      0.1567353834,    0.001618412685,      0.6807670051,                 0,       23.40802125
          0,           0,           3,      -1.668821799,      0.8201625181,      0.8117736525,       3.777026064,      -5.289798696,      0.0247859108,      0.7383185396,                 0,                 0,                 0,      0.1363394955,   -0.004993033927,      0.7387175894,                 0,       29.78783171
          0,           0,           4,      -1.737687718,      0.7965234263,      0.7068043101,       3.709217708,      -5.358594877,     0.02211700663,      0.7595112507,                 0,                 0,                 0,      0.1227963206,   -0.008513966596,      0.7597855055,                 0,       34.34059877
          0,           0,           5,      -1.814103837,      0.7563050454,      0.6172337366,       3.635757642,      -5.474802816,     0.01973454523,      0.7800601739,                 0,                 0,                 0,      0.1220260405,    -0.01172274063,      0.7802217021,                 0,       39.52764884
          0,           0,           6,      -1.883323436,      0.7049438485,      0.5309305575,       3.570868605,      -5.584418982,     0.01798157952,      0.8033072942,                 0,                 0,                 0,      0.1249909255,    -0.01441128455,       0.803379276,                 0,       44.67390049
          0,           0,           7,      -1.968423425,      0.6297401013,      0.4489828419,       3.488556386,      -5.671676643,     0.01640428039,      0.8204135458,                 0,                 0,                 0,      0.1250499113,    -0.01667678966,      0.8204080516,                 0,       50.01216306
          0,           0,           8,      -2.056986241,      0.5422581289,      0.3553964947,       3.398924984,      -5.758265593,     0.01480219614,      0.8279346193,                 0,                 0,                 0,      0.1221186334,     -0.0185807178,      0.8278584394,                 0,       55.93322854
          0,           0,           9,      -2.140047296,      0.4511756301,      0.2602505053,       3.313105232,       -5.83227288,     0.01342499742,      0.8304153315,                 0,                 0,                 0,      0.1192567571,    -0.02005678541,      0.8302816262,                 0,       61.85590251
