"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.868553667329603e-04, 9.823874347339191e-04, 5.031963469343186e-01, 1.606104156858563e+01, 8.446529785330272e+01, 1.041764128572732e+05, 1.088761485173266e-04, 3.873241042745787e+04, 2.681435723076356e+02, 5.205003814920157e-01, 4.461437188119731e-01, 1.691113176676067e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.753075726446181e-06
1, 4.338956644206095e-04, 2.281195644337590e-03, 4.909520715657845e-01, 2.702927687904851e+01, 9.411961988590818e+01, 1.023858960056898e+05, 1.049951641145001e-04, 3.704803629409546e+04, 2.628793316175365e+02, 6.136523665114088e-01, 3.098430227004763e-01, 1.664708443556725e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.948520629425469e-06
2, 1.024206714874405e-03, 3.899303040653657e-03, 4.483392938684930e-01, 4.622707971567942e+01, 9.612431297907580e+01, 9.456822154040131e+04, 9.455592330031831e-05, 3.275219187566551e+04, 2.544860093053086e+02, 7.439143942145644e-01, -3.777961826815374e-02, 1.622094376888374e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.013916689364300e-06
3, 2.173363694192436e-03, 5.897919913321397e-03, 4.049873875838034e-01, 6.620523101295026e+01, 8.889803583044497e+01, 8.647789431145554e+04, 8.595190451959982e-05, 2.852381154805623e+04, 2.453558433250982e+02, 8.715987372875306e-01, -3.799430192975973e-01, 1.574998082485860e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.019218103892177e-06
4, 4.192383908369333e-03, 8.153348187426307e-03, 3.723632651747333e-01, 8.047544292527388e+01, 7.714652534201778e+01, 8.029164863003058e+04, 7.951008994665645e-05, 2.544152017341891e+04, 2.380162305383846e+02, 9.680095043877636e-01, -6.293641257253431e-01, 1.536557953454400e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.801496011719271e-07
5, 7.224310738081042e-03, 1.073969966662225e-02, 3.498370122865794e-01, 9.020701628648771e+01, 6.623400168424988e+01, 7.606779291292693e+04, 7.532654584380220e-05, 2.326706929913179e+04, 2.316894578486566e+02, 1.048354359402228e+00, -8.053221637616690e-01, 1.502993777312145e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.909466511111977e-07
6, 1.161585623271590e-02, 1.360416745475956e-02, 3.296639043027875e-01, 9.614475815508555e+01, 5.479078574618142e+01, 7.216975870698570e+04, 7.151314620008778e-05, 2.143861288497598e+04, 2.265455990464901e+02, 1.112490513308410e+00, -9.532820956572429e-01, 1.475404554584866e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.657041450943926e-07
7, 1.773572534746037e-02, 1.672992472131118e-02, 3.168467908781329e-01, 9.969864147694635e+01, 4.520929115172278e+01, 6.966846588039870e+04, 6.930765706850194e-05, 2.030303697965839e+04, 2.232245921417418e+02, 1.153523034106400e+00, -1.045173667319681e+00, 1.457445973186870e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.078924559113615e-07
8, 2.603110046928928e-02, 2.014075306108391e-02, 3.108210006892007e-01, 1.022412118305545e+02, 3.790444579303983e+01, 6.850984902504990e+04, 6.848062523383616e-05, 1.975322593166912e+04, 2.213900111180178e+02, 1.176123542533180e+00, -1.089664749844875e+00, 1.447475392857911e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.874400227317336e-07
9, 3.705798925929518e-02, 2.389327843788909e-02, 3.080775042523295e-01, 1.039815469782341e+02, 3.188823342489265e+01, 6.797597561548627e+04, 6.815252589068638e-05, 1.951113981104515e+04, 2.206241242657094e+02, 1.185602426144945e+00, -1.109254522750085e+00, 1.443302341953285e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.790610646574077e-07
10, 5.152653468478014e-02, 2.795945835903587e-02, 3.081232895829681e-01, 1.054298637803967e+02, 2.715205936574300e+01, 6.799763015138789e+04, 6.834295024576401e-05, 1.950557941160611e+04, 2.205284753842691e+02, 1.186868937310345e+00, -1.109704474040115e+00, 1.442780743808698e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.813595625529268e-07
11, 7.023247248398350e-02, 3.243710810784775e-02, 3.089500496746915e-01, 1.065758847557148e+02, 2.314285946528881e+01, 6.817191389610144e+04, 6.858557843881992e-05, 1.956913180326411e+04, 2.206549295504459e+02, 1.185414510431998e+00, -1.104561771447524e+00, 1.443470310302249e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.856368456828967e-07
12, 9.412159451035199e-02, 3.720911414952538e-02, 3.093959941899950e-01, 1.073566561268158e+02, 1.951385910801448e+01, 6.826214200379924e+04, 6.865496587693109e-05, 1.960841435520450e+04, 2.207791893767960e+02, 1.183981072180769e+00, -1.101383000728798e+00, 1.444147744112347e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.871942116030535e-07
13, 1.241548630803584e-01, 4.223827965673286e-02, 3.095611912773846e-01, 1.079836269087615e+02, 1.631188555281935e+01, 6.830385371799690e+04, 6.868841512538782e-05, 1.961609156213239e+04, 2.207477654315692e+02, 1.184441854372830e+00, -1.100761755942538e+00, 1.443976444151544e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.880214123452160e-07
14, 1.612508221000785e-01, 4.734933058463927e-02, 3.086204798336782e-01, 1.083019469216152e+02, 1.323497406598458e+01, 6.812084447242306e+04, 6.844295395916388e-05, 1.953369989328894e+04, 2.204906177782254e+02, 1.187644609470054e+00, -1.107428945609440e+00, 1.442574269405553e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.836671928539177e-07
15, 2.061147918577756e-01, 5.225411194569274e-02, 3.069615762470123e-01, 1.083778062137744e+02, 1.029935132318086e+01, 6.779052589317538e+04, 6.801453900953846e-05, 1.939418490881365e+04, 2.200988943778821e+02, 1.192479255151949e+00, -1.118718592680904e+00, 1.440436918361853e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.761190025001719e-07
16, 2.590268651438059e-01, 5.664159922089458e-02, 3.048856684031616e-01, 1.083667825437323e+02, 7.511258307460561e+00, 6.738334770935222e+04, 6.745827377852408e-05, 1.921287780063546e+04, 2.195258945954337e+02, 1.199521938670811e+00, -1.133390086718466e+00, 1.437307506737926e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.670028874648891e-07
17, 3.196391099181728e-01, 6.012345448423968e-02, 3.016005352169965e-01, 1.083222957712624e+02, 4.780910985647242e+00, 6.675704962648172e+04, 6.666564024814917e-05, 1.890669517690743e+04, 2.183805018859980e+02, 1.213535711080082e+00, -1.158166592083142e+00, 1.431041402653944e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.546152897547965e-07
18, 3.868152133934392e-01, 6.228179668180353e-02, 2.961437222248930e-01, 1.082269981020872e+02, 2.005803591201730e+00, 6.573291739316925e+04, 6.585846692860653e-05, 1.838004539709657e+04, 2.162093117457026e+02, 1.239999794364257e+00, -1.200783449094530e+00, 1.419124481893205e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.404370120473177e-07
19, 4.586021458862657e-01, 6.269812177339126e-02, 2.896709961290903e-01, 1.073087212954245e+02, -1.006106214136751e+00, 6.444564520367137e+04, 6.529558812660126e-05, 1.782704855779149e+04, 2.143901262041665e+02, 1.262111894013727e+00, -1.245532328011518e+00, 1.409100001067776e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.269492575938900e-07
20, 5.323832559019632e-01, 6.091405265552274e-02, 2.903065405169920e-01, 1.043876722587769e+02, -4.323937169149102e+00, 6.426647903832889e+04, 6.589596293909064e-05, 1.818662149491349e+04, 2.182355779520338e+02, 1.215214737268959e+00, -1.216435442312644e+00, 1.430247557408159e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.270456998463990e-07
21, 6.052109788961224e-01, 5.661803990597897e-02, 3.261370185501954e-01, 1.036267402850511e+02, -7.694608999194156e+00, 7.089499575844876e+04, 7.469201399766977e-05, 2.173642044156186e+04, 2.321765077577905e+02, 1.043056218170265e+00, -9.291833064001972e-01, 1.505591996004524e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.848989931267403e-07
22, 6.743025527680833e-01, 5.037442278057275e-02, 3.875864311007657e-01, 1.066305971939674e+02, -1.085955625013502e+01, 8.286939400683824e+04, 8.887358803051217e-05, 2.721978216393295e+04, 2.446506793371458e+02, 8.819254177496489e-01, -4.854659605998586e-01, 1.571327656327228e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 9.848981379351303e-07
23, 7.374658085495318e-01, 4.315048736985345e-02, 4.153225627395435e-01, 1.068197569042455e+02, -1.321138995403286e+01, 8.824405283982276e+04, 9.438611791361498e-05, 2.971882415789696e+04, 2.492736899254406e+02, 8.187955084649595e-01, -2.832417892340845e-01, 1.595304009144034e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.560374097483058e-06
24, 7.932848124345864e-01, 3.566088142587194e-02, 4.203333972181746e-01, 1.047212978169601e+02, -1.479534158499730e+01, 8.906396133196642e+04, 9.438602905895858e-05, 3.030340341507757e+04, 2.511469190835625e+02, 7.919907431088029e-01, -2.359372396640901e-01, 1.604961358132364e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.606518250431834e-06
25, 8.411649946399540e-01, 2.850064672952676e-02, 4.257704777699769e-01, 1.023011562929359e+02, -1.585707853148926e+01, 8.994160287234321e+04, 9.560502297655880e-05, 3.094248585730836e+04, 2.531686941689380e+02, 7.622662438978257e-01, -1.842222554314571e-01, 1.615347579643427e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.742034279482851e-06
26, 8.811975297105672e-01, 2.203509500599220e-02, 4.349386320308368e-01, 9.971631473115515e+01, -1.654579647953790e+01, 9.153011827293852e+04, 9.800041958392405e-05, 3.191386413928826e+04, 2.556123028537126e+02, 7.250972546008227e-01, -1.056176667008354e-01, 1.627850094639346e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.035871699643134e-06
27, 9.139558906836376e-01, 1.642359816598019e-02, 4.430774785348813e-01, 9.639335654495653e+01, -1.688584875150185e+01, 9.286768410600202e+04, 9.996882037779677e-05, 3.282421295188264e+04, 2.580744385894295e+02, 6.858188909270239e-01, -3.195162398312078e-02, 1.640391779999492e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.309426429643124e-06
28, 9.402901059771267e-01, 1.168439919884943e-02, 4.492323923132343e-01, 9.174668342182723e+01, -1.682096740790377e+01, 9.372867954466723e+04, 1.016951814943281e-04, 3.361802056532396e+04, 2.606942305790586e+02, 6.414812435421245e-01, 3.228382593718393e-02, 1.653675875491543e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.541562335181252e-06
29, 9.611597775870172e-01, 7.769963747700911e-03, 4.538562217650835e-01, 8.439129120226127e+01, -1.608660444142349e+01, 9.413525234715869e+04, 1.032625168963067e-04, 3.440167494168945e+04, 2.640533245424375e+02, 5.810786277683462e-01, 9.569766903403373e-02, 1.670618291873624e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.722965530416348e-06
30, 9.775117249198569e-01, 4.589468234780011e-03, 4.571273685460500e-01, 7.077414238922086e+01, -1.396059854019066e+01, 9.400300385206632e+04, 1.052683521835280e-04, 3.532442797590887e+04, 2.691957875013277e+02, 4.797813206371470e-01, 1.703674697700688e-01, 1.696361738594769e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.885087264330552e-06
31, 9.902099327751225e-01, 2.038144568038185e-03, 4.568667086907449e-01, 4.607992191910630e+01, -9.449140750076721e+00, 9.298380660932991e+04, 1.055233013612536e-04, 3.622490513543221e+04, 2.762155278567711e+02, 3.090249276096343e-01, 2.432346916327821e-01, 1.731132479159705e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.743711088222868e-06
32, 0.000000000000000e+00, 0.000000000000000e+00, 5.259186618678715e-01, -1.414949667275635e-02, 7.686891290706961e+01, 1.082936690945371e+05, 1.139562355222255e-04, 4.107041675327808e+04, 2.720450783487784e+02, 4.420413361829020e-01, 6.353367748025871e-01, 1.710526067387174e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 6.429512677538361e-06
