"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,     -0.6704019318,       1.713394333,       1.844445844,       4.811905252,      0.1209499398,      0.3627743791,                 0,                 0,                 0,      0.1033164076,       0.106229602,      0.3673546104,                 0,       2.999376267
          0,           0,           1,      -1.063543942,       1.437087926,       1.453644371,       4.417763567,     0.07263239663,      0.5636205481,                 0,                 0,                 0,      0.1497641639,     0.04985598011,      0.5660900711,                 0,       7.759905694
          0,           0,           2,      -1.095983903,       1.431256964,       1.423823098,       4.383301375,     0.05234352773,      0.7059638126,                 0,                 0,                 0,      0.1724020123,      0.0238462846,      0.7074998971,                 0,       13.48712713
          0,           0,           3,      -1.144344214,       1.372820328,       1.324940698,       4.336099547,     0.03951789885,      0.7936346896,                 0,                 0,                 0,      0.1746744829,    0.007497399622,      0.7945825784,                 0,       20.08291718
          0,           0,           4,      -1.204903954,       1.338421509,       1.258682969,       4.274492638,     0.03150255161,      0.8346828213,                 0,                 0,                 0,      0.1651741922,   -0.002165927713,      0.8352742853,                 0,        26.4957211
          0,           0,           5,      -1.291908708,       1.259581979,       1.146023896,       4.187982049,     0.02614578545,      0.8469620899,                 0,                 0,                 0,       0.152150959,   -0.008013271292,      0.8473276646,                 0,        32.3938285
          0,           0,           6,      -1.342112911,       1.200182951,       1.114500157,       4.138327442,     0.02236052106,      0.8456626807,                 0,                 0,                 0,      0.1405584171,    -0.01174308546,      0.8458767418,                 0,       37.81945325
          0,           0,           7,      -1.410815008,       1.146162691,       1.078707229,       4.068641098,     0.01973110505,      0.8421867344,                 0,                 0,                 0,      0.1328548093,     -0.0142302626,      0.8422976384,                 0,       42.68320158
          0,           0,           8,      -1.489490258,         1.0766592,      0.9761834187,       3.989729281,     0.01798188762,      0.8424095329,                 0,                 0,                 0,      0.1292240079,    -0.01598703874,      0.8424497516,                 0,       46.84766975
          0,           0,           9,      -1.535258034,       1.042446205,       0.877396968,       3.944949865,      0.0168794957,      0.8475441629,                 0,                 0,                 0,       0.128541962,    -0.01729549218,      0.8475357759,                 0,       50.21146236
          0,           0,          10,      -1.584924375,         1.0242705,      0.8595148796,       3.895720754,     0.01626432487,      0.8560273066,                 0,                 0,                 0,      0.1293985637,    -0.01825208626,      0.8559872308,                 0,       52.63220661
          0,           0,          11,      -1.643494972,      0.9849258952,      0.8291821251,        3.83681461,     0.01597770464,      0.8654520791,                 0,                 0,                 0,      0.1306834897,    -0.01891835018,      0.8653927919,                 0,       54.16623341
          0,           0,          12,      -1.727810169,      0.9147378019,      0.7655000798,       3.751410654,     0.01581943292,      0.8738774897,                 0,                 0,                 0,      0.1316909167,    -0.01941608944,      0.8738049765,                 0,       55.24075953
          0,           0,          13,      -1.816986977,       0.826164566,      0.6756959586,       3.660847036,     0.01563477266,      0.8801911924,                 0,                 0,                 0,      0.1321136302,    -0.01985508091,      0.8801061056,                 0,       56.29702534
          0,           0,          14,      -1.862687008,      0.7437577172,      0.5605595611,       3.615252269,     0.01536529405,      0.8842441749,                 0,                 0,                 0,      0.1319659868,     -0.0202877008,      0.8841449329,                 0,       57.54814534
          0,           0,          15,      -1.907748601,      0.6695317604,       0.475192331,       3.571262219,     0.01502959604,      0.8864551515,                 0,                 0,                 0,      0.1314267757,    -0.02071224203,      0.8863405821,                 0,       58.98063721
          0,           0,          16,      -1.983187266,      0.5961537347,      0.4519670337,       3.496970829,     0.01467683322,      0.8874480183,                 0,                 0,                 0,      0.1307119652,    -0.02110473686,      0.8873184235,                 0,       60.46590602
          0,           0,          17,      -2.060724096,      0.5280288503,      0.4248477451,       3.420432779,     0.01435387181,      0.8878061476,                 0,                 0,                 0,      0.1300015101,    -0.02144187065,      0.8876632444,                 0,       61.85133596
          0,           0,          18,       -2.12055889,      0.4661476423,      0.3594154774,       3.361000823,     0.01409058916,       0.887968298,                 0,                 0,                 0,      0.1294126857,    -0.02171147502,      0.8878146511,                 0,       63.01853585
          0,           0,          19,      -2.185092459,      0.4006330903,      0.2681264472,       3.296308462,     0.01389712741,      0.8882118913,                 0,                 0,                 0,      0.1289997439,    -0.02191459787,      0.8880502488,                 0,       63.91334446
          0,           0,          20,       -2.27115811,      0.3234458754,      0.1759496441,        3.20985225,     0.01376850068,      0.8886616679,                 0,                 0,                 0,      0.1287657813,    -0.02206124886,      0.8884944755,                 0,        64.5430965
          0,           0,          21,      -2.364463619,      0.2377496051,     0.09024417819,       3.116234631,     0.01369175997,      0.8893369316,                 0,                 0,                 0,      0.1286847794,    -0.02216514451,      0.8891660973,                 0,       64.95417196
          0,           0,          22,      -2.438705668,      0.1543952265,   -0.001139284646,       3.042064769,     0.01365075757,      0.8901837742,                 0,                 0,                 0,       0.128713554,    -0.02224024659,      0.8900105991,                 0,       65.21130933
          0,           0,          23,      -2.493054213,     0.08134515606,     -0.1028554395,       2.988059278,     0.01363172195,      0.8911038379,                 0,                 0,                 0,       0.128804577,    -0.02229635099,      0.8909291478,                 0,       65.36986606
          0,           0,          24,      -2.550064188,     0.01723168637,     -0.1995138596,        2.93133209,      0.0136251236,      0.8919891609,                 0,                 0,                 0,      0.1289163992,    -0.02233862797,      0.8918134855,                 0,        65.4665005
          0,           0,          25,      -2.622255333,    -0.04334999461,     -0.2709971246,        2.85927411,     0.01362003734,      0.8927551831,                 0,                 0,                 0,      0.1290066992,    -0.02237458553,      0.8925786802,                 0,       65.54719056
          0,           0,          26,      -2.703846348,     -0.1027420756,     -0.3217582699,       2.777722379,     0.01361108393,      0.8933450613,                 0,                 0,                 0,      0.1290535308,     -0.0224073074,      0.8931677181,                 0,       65.63364578
          0,           0,          27,      -2.781876976,     -0.1617846056,     -0.3748909522,       2.699717119,     0.01359687398,      0.8937429647,                 0,                 0,                 0,      0.1290533278,    -0.02243754377,      0.8935647254,                 0,       65.73150316
          0,           0,          28,      -2.848094517,     -0.2200341953,     -0.4415480337,        2.63354637,     0.01357804512,      0.8939668128,                 0,                 0,                 0,      0.1290143927,    -0.02246537979,      0.8937876327,                 0,       65.83913993
          0,           0,          29,       -2.90786806,     -0.2788626889,     -0.5201899015,       2.573813002,     0.01355624362,      0.8940557568,                 0,                 0,                 0,      0.1289506466,    -0.02249074857,      0.8938756257,                 0,       65.95158524
          0,           0,          30,      -2.971326565,      -0.340637678,     -0.6023398425,        2.51034935,     0.01353355066,      0.8940555936,                 0,                 0,                 0,      0.1288766626,    -0.02251341652,       0.893874548,                 0,       66.06216036
          0,           0,          31,      -3.043849275,     -0.4068324153,     -0.6799737831,         2.4377607,     0.01351210668,      0.8940091909,                 0,                 0,                 0,      0.1288048826,    -0.02253297275,      0.8938273187,                 0,       66.16356815
          0,           0,          32,      -3.124420017,     -0.4767192359,     -0.7513987197,        2.35706591,     0.01349379402,      0.8939525265,                 0,                 0,                 0,      0.1287445626,     -0.0225489866,      0.8937699622,                 0,       66.24916054
          0,           0,          33,      -3.208077793,     -0.5475000468,     -0.8206120491,       2.273243024,     0.01347987323,      0.8939111503,                 0,                 0,                 0,      0.1287011397,    -0.02256122837,      0.8937280585,                 0,       66.31450721
          0,           0,          34,      -3.289304649,     -0.6156922575,     -0.8924813967,        2.19184667,      0.0134706012,      0.8938981024,                 0,                 0,                 0,      0.1286756285,    -0.02256996695,      0.8937146475,                 0,       66.35918391
          0,           0,          35,      -3.364917046,     -0.6787901912,     -0.9694319015,       2.116103323,     0.01346540923,      0.8939155252,                 0,                 0,                 0,      0.1286656702,    -0.02257585694,      0.8937318469,                 0,       66.38606446
          0,           0,          36,      -3.434702284,      -0.736131247,      -1.051609351,       2.046245013,      0.0134631317,      0.8939575385,                 0,                 0,                 0,      0.1286664915,    -0.02257982602,      0.8937737342,                 0,       66.40041546
          0,           0,          37,      -3.500152235,     -0.7883908396,       -1.13745035,       1.980771583,     0.01346250726,      0.8940138127,                 0,                 0,                 0,      0.1286727494,    -0.02258271815,      0.8938299376,                 0,       66.40767542
          0,           0,          38,      -3.562758404,     -0.8367075266,      -1.224162418,       1.918171464,     0.01346248437,      0.8940729491,                 0,                 0,                 0,      0.1286797981,    -0.02258512459,       0.893889025,                 0,       66.41218106
          0,           0,          39,       -3.62336607,     -0.8821301088,      -1.308119491,       1.857583056,     0.01346232399,       0.894125304,                 0,                 0,                 0,      0.1286843755,    -0.02258739506,      0.8939413309,                 0,        66.4168612
          0,           0,          40,       -3.68235127,      -0.925474706,      -1.385966566,        1.79862692,     0.01346163443,       0.894164664,                 0,                 0,                 0,      0.1286848571,    -0.02258967052,      0.8939806311,                 0,       66.42318723
          0,           0,          41,      -3.740012136,      -0.967320391,      -1.456200625,       1.741014634,     0.01346032959,      0.8941886959,                 0,                 0,                 0,      0.1286810881,    -0.02259194293,      0.8940045909,                 0,       66.43141165
          0,           0,          42,      -3.796660478,      -1.007965142,      -1.519824396,       1.684450952,     0.01345852202,      0.8941982548,                 0,                 0,                 0,      0.1286738845,    -0.02259413431,      0.8940140691,                 0,       66.44104409
          0,           0,          43,      -3.852427954,      -1.047409249,      -1.579435478,       1.628820131,     0.01345641023,      0.8941960794,                 0,                 0,                 0,      0.1286644719,     -0.0225961567,      0.8940118103,                 0,       66.45130938
          0,           0,          44,      -3.907012519,      -1.085441713,      -1.637491969,       1.574434424,     0.01345420464,      0.8941856077,                 0,                 0,                 0,      0.1286540882,    -0.02259793842,      0.8940012583,                 0,       66.46142462
          0,           0,          45,      -3.959659457,      -1.121776035,      -1.695189966,        1.52204953,     0.01345208539,      0.8941702411,                 0,                 0,                 0,       0.128643765,    -0.02259943659,      0.8939858188,                 0,        66.4707527
          0,           0,          46,      -4.009528303,      -1.156174206,      -1.752257416,        1.47249683,     0.01345017894,       0.894152853,                 0,                 0,                 0,      0.1286342207,    -0.02260064064,       0.893968368,                 0,       66.47888158
          0,           0,          47,      -4.056175842,      -1.188533768,      -1.807563039,       1.426204375,     0.01344854932,      0.8941354487,                 0,                 0,                 0,      0.1286258304,    -0.02260156743,      0.8939509121,                 0,       66.48564295
          0,           0,          48,      -4.099696995,      -1.218916889,       -1.86017356,       1.383063587,      0.0134472029,      0.8941191121,                 0,                 0,                 0,      0.1286186604,    -0.02260225429,      0.8939345345,                 0,       66.49108506
          0,           0,          49,      -4.140482417,      -1.247512517,       -1.91001814,       1.342676566,     0.01344610338,      0.8941041577,                 0,                 0,                 0,      0.1286125559,    -0.02260275016,      0.8939195479,                 0,       66.49541004
          0,           0,          50,      -4.178919407,      -1.274576927,      -1.957751176,       1.304653507,     0.01344518899,      0.8940903651,                 0,                 0,                 0,      0.1286072386,    -0.02260310788,      0.8939057297,                 0,       66.49890647
          0,           0,          51,      -4.215284671,      -1.300379361,      -2.004092989,       1.268715413,     0.01344439119,      0.8940772254,                 0,                 0,                 0,      0.1286023979,    -0.02260337542,      0.8938925685,                 0,       66.50187521
          0,           0,          52,       -4.24978298,      -1.325165322,      -2.049334687,       1.234653345,     0.01344364867,      0.8940641617,                 0,                 0,                 0,      0.1285977582,     -0.0226035908,      0.8938794855,                 0,       66.50457654
          0,           0,          53,      -4.282603948,       -1.34913846,      -2.093299717,       1.202271455,      0.0134429158,      0.8940506884,                 0,                 0,                 0,      0.1285931209,    -0.02260378001,      0.8938659936,                 0,        66.5071999
          0,           0,          54,       -4.31392468,      -1.372455237,      -2.135570146,       1.171385275,     0.01344216621,         0.8940365,                 0,                 0,                 0,      0.1285883783,     -0.0226039571,      0.8938517865,                 0,       66.50985307
          0,           0,          55,      -4.343890687,      -1.395230759,       -2.17574063,       1.141841912,     0.01344139164,      0.8940214943,                 0,                 0,                 0,      0.1285835061,    -0.02260412623,      0.8938367618,                 0,       66.51256942
