"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.868553667329603e-04, 9.823874347339191e-04, 5.020874744631505e-01, 1.565111942825843e+01, 8.227825731236662e+01, 1.038489013822721e+05, 1.119591492104360e-04, 3.874535853732660e+04, 2.688256113803416e+02, 5.075046701839100e-01, 4.471914886354821e-01, 1.694516360981141e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.203103992048911e-06
1, 3.915360338905884e-04, 2.058490942298525e-03, 5.036657795052322e-01, 1.917736048738897e+01, 9.536002111783652e+01, 1.048589328090849e+05, 1.106643014678565e-04, 3.818659571208469e+04, 2.641185132596235e+02, 5.927680737126340e-01, 4.019760222297692e-01, 1.670946090516088e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.237041078639026e-06
2, 6.385526300372194e-04, 3.228572431310579e-03, 4.545999917118179e-01, 3.742529426542586e+01, 9.583330537288157e+01, 9.553439893100769e+04, 9.976935145116743e-05, 3.355706126069013e+04, 2.571490016586106e+02, 7.039925695455246e-01, 2.735095770352313e-02, 1.635684279590427e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.549790711842590e-06
3, 1.293339793162979e-03, 4.367380005717009e-03, 4.268134974304374e-01, 5.192774995723987e+01, 9.031818545493798e+01, 9.020048384414354e+04, 9.461792982873510e-05, 3.099419419375748e+04, 2.529720558029088e+02, 7.655418888113327e-01, -1.800379818112528e-01, 1.614339088212670e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.692368690073740e-06
4, 2.010169371003328e-03, 5.614091912691834e-03, 4.225827126783983e-01, 6.135496921784825e+01, 9.262849041745270e+01, 8.988195228360478e+04, 9.306971966340804e-05, 3.011038882574955e+04, 2.482189775734215e+02, 8.324499895563295e-01, -2.515561110086451e-01, 1.589851895071095e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.596040218377633e-06
5, 2.947029393865798e-03, 6.864049738656003e-03, 3.876454023405589e-01, 7.085198316340725e+01, 8.266232209192221e+01, 8.298625241427847e+04, 8.532508855290405e-05, 2.707908572268310e+04, 2.433490779192377e+02, 8.980840047642829e-01, -4.968512119540116e-01, 1.564540119699105e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.507342556508983e-07
6, 4.143577493344999e-03, 8.102819575333872e-03, 3.761680489753052e-01, 7.800702673756396e+01, 8.030901442661653e+01, 8.104709202605700e+04, 8.299883560179505e-05, 2.575445685962458e+04, 2.385068387170181e+02, 9.613347940366366e-01, -6.040410770487928e-01, 1.539143935906399e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.115263530763084e-07
7, 5.459064074932061e-03, 9.450375286195909e-03, 3.528260764063152e-01, 8.415881447057919e+01, 7.239648265230386e+01, 7.653764851942714e+04, 7.817783670574497e-05, 2.362920570951619e+04, 2.333021780690098e+02, 1.027557576589973e+00, -7.760178400695339e-01, 1.511587768341804e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.604591544715726e-07
8, 7.122842397032741e-03, 1.066558786758244e-02, 3.370783732062518e-01, 8.806917651883143e+01, 6.432884863996615e+01, 7.339484163299152e+04, 7.533002978631716e-05, 2.230059832151383e+04, 2.304708328780808e+02, 1.063122221200073e+00, -8.835296500984018e-01, 1.496482279295927e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.419153846946487e-07
9, 8.941692113221576e-03, 1.199406356016947e-02, 3.360273789630367e-01, 9.211898120616570e+01, 6.153430424367225e+01, 7.335828359083261e+04, 7.529276338914705e-05, 2.203892214828582e+04, 2.284788644508797e+02, 1.087972263863465e+00, -9.047046633334785e-01, 1.485805725748240e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.442708919275970e-07
10, 1.103596543333838e-02, 1.327965724175473e-02, 3.248684819273304e-01, 9.403449113766293e+01, 5.503236475312168e+01, 7.109743794387128e+04, 7.265994859295950e-05, 2.113075825024729e+04, 2.265884912768867e+02, 1.111396842353731e+00, -9.781939012849553e-01, 1.475635741079587e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.669066683331223e-07
11, 1.338227910767874e-02, 1.459266781383770e-02, 3.220131205448880e-01, 9.653174330980954e+01, 5.189244576324738e+01, 7.062670235406054e+04, 7.228486180325684e-05, 2.079061013867183e+04, 2.249178961073806e+02, 1.132032359981588e+00, -1.005718916939402e+00, 1.466617117074307e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.571191021134560e-07
12, 1.598703262937219e-02, 1.594133002167838e-02, 3.144444474288190e-01, 9.769267209125175e+01, 4.713429665255003e+01, 6.910814863584210e+04, 7.054352417148945e-05, 2.015990257049630e+04, 2.233442849527906e+02, 1.151396748158096e+00, -1.056756200689127e+00, 1.458095238527544e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.160827902798657e-07
13, 1.890776957779433e-02, 1.725847262353328e-02, 3.113241609172129e-01, 9.916897138838203e+01, 4.403312345643911e+01, 6.853232837136117e+04, 7.007294413906302e-05, 1.984949598080857e+04, 2.221094325964173e+02, 1.166556539371993e+00, -1.081874512241190e+00, 1.451389568830715e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.050333939823435e-07
14, 2.210848584425777e-02, 1.865945392949563e-02, 3.072882734898273e-01, 1.000736404149513e+02, 4.063581558942612e+01, 6.773517856080350e+04, 6.921926639401743e-05, 1.950119917961791e+04, 2.210780758469577e+02, 1.179216022796927e+00, -1.110058925380406e+00, 1.445776522781613e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.875713353453617e-07
15, 2.567284568080688e-02, 2.000546510705450e-02, 3.050919284966512e-01, 1.009924804487358e+02, 3.790000042329207e+01, 6.731515829536368e+04, 6.885216311703943e-05, 1.929826982219165e+04, 2.203525098039946e+02, 1.188122610352179e+00, -1.126480106477175e+00, 1.441820901907309e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.799483024145336e-07
16, 2.956163844651765e-02, 2.145645516077357e-02, 3.034703094127570e-01, 1.017812973669632e+02, 3.540885281552723e+01, 6.700531004647647e+04, 6.858059994952140e-05, 1.914851245185346e+04, 2.198108771835447e+02, 1.194776500844596e+00, -1.138598574352346e+00, 1.438864366794260e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.744932629830809e-07
17, 3.385971814382999e-02, 2.285362305150995e-02, 3.022369480953310e-01, 1.023817749227510e+02, 3.306622078633928e+01, 6.676044455596995e+04, 6.835825670868390e-05, 1.904435802446393e+04, 2.195073806896122e+02, 1.198524985040557e+00, -1.147026821186052e+00, 1.437206335048777e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.700716022540418e-07
18, 3.854108459381271e-02, 2.435652875819101e-02, 3.022891328311747e-01, 1.031226015025469e+02, 3.120825022858255e+01, 6.678629457665798e+04, 6.847438124649166e-05, 1.903430404708270e+04, 2.193536234696487e+02, 1.200436350105755e+00, -1.147840395847767e+00, 1.436365965859328e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.716389680812687e-07
19, 4.368039618814700e-02, 2.582571557193584e-02, 3.018708658344748e-01, 1.035594602856461e+02, 2.922568193314204e+01, 6.669601840925340e+04, 6.837699511277983e-05, 1.900711237661873e+04, 2.193437617296784e+02, 1.200597002398644e+00, -1.150040764245300e+00, 1.436312057252196e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.697527606105273e-07
20, 4.927227079397089e-02, 2.738496225055702e-02, 3.028255147968517e-01, 1.042569411110720e+02, 2.776520298234501e+01, 6.690230659006073e+04, 6.868968659493624e-05, 1.907305242845790e+04, 2.194108418152482e+02, 1.199813942460315e+00, -1.144704850573101e+00, 1.436678725838460e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.749099647787275e-07
21, 5.537689940454214e-02, 2.894071860844413e-02, 3.027786115178689e-01, 1.045684108827076e+02, 2.601829289070249e+01, 6.688090664301967e+04, 6.863249567020095e-05, 1.908239940500115e+04, 2.195523721892133e+02, 1.198122254706355e+00, -1.143948486898221e+00, 1.437452190646853e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.739457955188609e-07
22, 6.201183141144624e-02, 3.055472604858280e-02, 3.041242701163112e-01, 1.052310071704787e+02, 2.481573724254157e+01, 6.716706455771411e+04, 6.901436361195755e-05, 1.917958292035141e+04, 2.196941154480861e+02, 1.196428382308524e+00, -1.136084330989842e+00, 1.438226602936255e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.806966434565067e-07
23, 6.921960065570421e-02, 3.220517829348604e-02, 3.040469104036575e-01, 1.054627889525217e+02, 2.323303712444271e+01, 6.714067254703815e+04, 6.894507335208050e-05, 1.918496997342322e+04, 2.198117351299940e+02, 1.195019188602961e+00, -1.135648407005298e+00, 1.438869052438316e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.795561858163291e-07
24, 7.704183387480316e-02, 3.386574154954416e-02, 3.049680467331506e-01, 1.059439141862783e+02, 2.203680817539383e+01, 6.733398022222049e+04, 6.918394065918883e-05, 1.925427355496013e+04, 2.199394551624712e+02, 1.193489923280671e+00, -1.130040314231014e+00, 1.439566502657660e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.839774720487686e-07
25, 8.550455401239065e-02, 3.559254247306260e-02, 3.052967763131730e-01, 1.063098190875646e+02, 2.078357550636271e+01, 6.740649894949055e+04, 6.928173859071192e-05, 1.927582686836545e+04, 2.199485704719189e+02, 1.193401270134764e+00, -1.128296205506909e+00, 1.439616272603768e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.857877437919600e-07
26, 9.466067951340125e-02, 3.731024742693559e-02, 3.050652052908858e-01, 1.064066618049056e+02, 1.937410751514765e+01, 6.734756495695382e+04, 6.920584832192765e-05, 1.927002046160580e+04, 2.200492257419739e+02, 1.192200834933214e+00, -1.128766063876004e+00, 1.440165795004363e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.842142591750376e-07
27, 1.045393856775487e-01, 3.905829284946092e-02, 3.061632571000574e-01, 1.068657170134761e+02, 1.841625101320583e+01, 6.758031030691936e+04, 6.948853074794751e-05, 1.935031417237081e+04, 2.201736268530642e+02, 1.190717545831358e+00, -1.122268642398271e+00, 1.440844806395819e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.896484513209643e-07
28, 1.151767077145212e-01, 4.084582259518996e-02, 3.062119606333986e-01, 1.071344754473817e+02, 1.728428035421039e+01, 6.759783200503391e+04, 6.947982765484313e-05, 1.934737435313466e+04, 2.201051630462227e+02, 1.191578848397729e+00, -1.122506534562721e+00, 1.440471134903705e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.898202618743618e-07
29, 1.266170185385060e-01, 4.262014493023433e-02, 3.056426906240094e-01, 1.071851873915086e+02, 1.602676616547679e+01, 6.747853707951290e+04, 6.935456896030914e-05, 1.930562878804557e+04, 2.200393140209601e+02, 1.192403257848557e+00, -1.125884613974243e+00, 1.440111687287802e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.872147503334558e-07
30, 1.388916757825727e-01, 4.439176312812258e-02, 3.058621760797368e-01, 1.073773972088629e+02, 1.500192712260690e+01, 6.752407364257540e+04, 6.942810421320705e-05, 1.932318492870937e+04, 2.200813703263307e+02, 1.191912509531122e+00, -1.124463959176647e+00, 1.440341263841005e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.884524002566093e-07
31, 1.520305341413954e-01, 4.617072733032802e-02, 3.061327187585988e-01, 1.076389228255067e+02, 1.406264946491223e+01, 6.758832438465097e+04, 6.947128045031193e-05, 1.933677609073456e+04, 2.200415346414618e+02, 1.192431721686597e+00, -1.123364153136940e+00, 1.440123809664227e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.896684404318841e-07
32, 1.660637219572006e-01, 4.794171330309952e-02, 3.055786844799734e-01, 1.077608018841059e+02, 1.300086756549153e+01, 6.748524516065625e+04, 6.932529654368709e-05, 1.928321142293128e+04, 2.198298437948802e+02, 1.195042806858088e+00, -1.127698642348072e+00, 1.438967950423326e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.871872048127209e-07
33, 1.810190338590401e-01, 4.966806913290502e-02, 3.045788229757467e-01, 1.077557002122717e+02, 1.187236306576596e+01, 6.728721579746080e+04, 6.910674582737910e-05, 1.919784032203517e+04, 2.195750631734286e+02, 1.198175241205653e+00, -1.134606929675375e+00, 1.437576177042729e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.829872246905893e-07
34, 1.969151295853534e-01, 5.134086786561977e-02, 3.039353684457033e-01, 1.078024611202328e+02, 1.085817705794809e+01, 6.716267936344833e+04, 6.899243464104010e-05, 1.914022505008711e+04, 2.193795513901516e+02, 1.200583579146212e+00, -1.139269196518370e+00, 1.436507694279250e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.806649442309024e-07
35, 2.137632827861302e-01, 5.296616682005938e-02, 3.034866912701050e-01, 1.078858511494154e+02, 9.921047771628691e+00, 6.707957875279686e+04, 6.890560226389196e-05, 1.909654398785243e+04, 2.192024844036058e+02, 1.202767891487323e+00, -1.142803897670300e+00, 1.435539658305050e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.790693043001136e-07
36, 2.315701483145434e-01, 5.452770770985198e-02, 3.028653562861600e-01, 1.079281526142662e+02, 8.977529085945674e+00, 6.696121311728726e+04, 6.876070294321466e-05, 1.903907500980927e+04, 2.189911637304262e+02, 1.205369711916722e+00, -1.147454326311389e+00, 1.434383913255739e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.765592931679509e-07
37, 2.503342472931563e-01, 5.600816535325955e-02, 3.020715999153529e-01, 1.079348467751087e+02, 8.028703497300814e+00, 6.680819980980364e+04, 6.857931929861440e-05, 1.896724378447876e+04, 2.187382210038484e+02, 1.208478096378144e+00, -1.153266957734044e+00, 1.432999897706065e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.733996266353739e-07
38, 2.700450900479437e-01, 5.738965916909425e-02, 3.011404468931054e-01, 1.079114753875943e+02, 7.080443946440309e+00, 6.662765490358336e+04, 6.836580416660169e-05, 1.888390924085750e+04, 2.184505584172250e+02, 1.212009305759384e+00, -1.160010445466807e+00, 1.431425067677520e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.697289199665282e-07
39, 2.906822992822700e-01, 5.865554321750571e-02, 3.001078946624405e-01, 1.078734862140648e+02, 6.138079468492547e+00, 6.642786292018213e+04, 6.812943635077094e-05, 1.879103324488014e+04, 2.181240666881848e+02, 1.216014003432756e+00, -1.167526033988991e+00, 1.429636581025017e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.657531153694425e-07
