"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -1.641722728,      0.7405215819,      0.8494114579,       3.811669333,       -5.23135612,      0.1197297169,      0.3589739015,                 0,                 0,                 0,     0.09843363189,      0.1051635534,      0.3635080386,                 0,       2.998202208
          0,           0,           1,      -1.704997056,      0.8383123354,      0.8510103973,       3.746985653,       -5.30207563,     0.04954890272,      0.5199654735,                 0,                 0,                 0,      0.1351528206,      0.0285508139,      0.5215400641,                 0,       10.49398564
          0,           0,           2,      -1.731540262,      0.7788656961,      0.7335891506,       3.718245598,      -5.436687321,     0.02784651515,      0.6489286026,                 0,                 0,                 0,      0.1437555026,     0.00166805058,      0.6495236541,                 0,       23.30376347
          0,           0,           3,      -1.810177431,      0.7159259424,      0.6315212094,       3.638191678,      -5.516536766,     0.02167610862,      0.7156193399,                 0,                 0,                 0,      0.1317588315,   -0.007185390874,      0.7159114914,                 0,       33.01419791
          0,           0,           4,      -1.880222745,      0.6902944657,      0.5287083042,        3.56904596,      -5.593048277,     0.02017394925,      0.7462296113,                 0,                 0,                 0,      0.1211182605,   -0.009920112792,      0.7464363418,                 0,       36.98976348
          0,           0,           5,      -1.968848043,      0.6197650249,      0.4393830362,       3.482949542,      -5.688756816,     0.01815952624,      0.7678576011,                 0,                 0,                 0,      0.1186304238,    -0.01280464057,      0.7679655624,                 0,       42.28401066
          0,           0,           6,       -2.05829092,        0.53997485,      0.3352529429,       3.395596793,      -5.784151001,     0.01571527584,      0.7873492677,                 0,                 0,                 0,      0.1187885775,    -0.01603253942,      0.7873428713,                 0,       50.10088754
          0,           0,           7,      -2.151735678,      0.4522720694,       0.226390759,       3.304142328,       -5.88018403,     0.01390677272,      0.8024768697,                 0,                 0,                 0,      0.1183576119,    -0.01844930882,      0.8023852864,                 0,       57.70403283
          0,           0,           8,      -2.249770173,      0.3527079188,      0.1353671885,       3.205297297,      -5.966325246,     0.01291606735,      0.8137560446,                 0,                 0,                 0,      0.1180227067,    -0.01989382962,       0.813615364,                 0,       63.00339123
          0,           0,           9,      -2.338704337,      0.2622496321,     0.05771864949,       3.112924914,      -6.039574648,     0.01242423384,      0.8233842255,                 0,                 0,                 0,      0.1185163604,    -0.02077333869,      0.8232158968,                 0,       66.27243466
