CGRID TOPOLOGY
Cd Cl GridCells con_dim step_dim first_spacing
0.011488555230 0.8763068729 3344 50 20 0.001
0.010193194320 0.8855646619 7714 75 30 0.001
0.009772452958 0.8885787791 17688 113 45 0.001
0.009635191482 0.8902536284 35200 147 65 0.001
0.009584528111 0.8901768234 82962 221 100 0.001
