CGRID TOPOLOGY (EULER)
Cd Cl Cm GridCells con_dim step_dim first_spacing
0.011488555230 0.8763068729 0.1258356277 3344 100 20 0.001
0.010193194320 0.8855646619 0.1252041107 7714 150 30 0.001
0.009772452958 0.8885787791 0.1249591671 17688 226 45 0.001
0.009652325463 0.8896589046 0.1249129662 38016 338 65 0.001
0.009593113320 0.8902665102 0.1249087735 89496 508 100 0.001
------------------------------------------------------------
Cd Cl Cm GridCells airfoil_dim step_dim first_spacing LE TE
0.01570490260 0.7960373530 0.1140283956 3344 100 20 0.001 0.01 0.01
0.01200200709 0.8751738616 0.1249859956 7714 150 30 0.001 0.005 0.005
0.01103994519 0.9016228012 0.1290508709 17688 226 45 0.001 0.003 0.003
0.01100871693 0.9146069626 0.1315928978 38016 338 65 0.001 0.001 0.001
0.01096540199 0.9145919653 0.1314657892 89496 508 100 0.001 0.001 0.001
