***********************************************
------------------------------------------------
Cd Cl Cm SizeFieldDecay GridCells con_dim farfield_dim farfield_dist LE TE
0.009629090654 0.8907380477 0.1248516543 0.99 31167 50 100 50 0.001 0.01
0.009822339458 0.8959181985 0.1264869910 0.99 41365 100 100 50 0.001 0.01
0.009574112473 0.8914639562 0.1252871249 0.99 57615 200 100 50 0.001 0.01
0.009794016896 0.8944859687 0.1262607463 0.99 87733 400 100 50 0.001 0.01
0.009891438483 0.8947691655 0.1263901266 0.99 146797 800 100 50 0.001 0.01
0.009912355039 0.8963121291 0.1267809966 0.99 263987 1600 100 50 0.001 0.01
------------------------------------------------
************************************************
