"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,     -0.9320996904,       1.429937886,       1.580301166,       4.550207494,     0.09049084616,      0.5198483036,                 0,                 0,                 0,      0.1551174901,     0.06924345713,      0.5231024715,                 0,       5.744761218
          0,           0,           1,     -0.8812458319,       1.616658091,       1.654513008,       4.602957754,     0.03567411493,      0.7086675218,                 0,                 0,                 0,      0.1614983696,    0.006782006755,      0.7095324541,                 0,       19.86503445
          0,           0,           2,     -0.8920078083,       1.536759619,       1.603195796,       4.589897758,      0.0305541379,      0.7898681388,                 0,                 0,                 0,      0.1494623432,   -0.001640849109,      0.7904571713,                 0,        25.8514294
          0,           0,           3,      -1.034261631,        1.36596074,       1.457177934,       4.446207723,     0.02231008271,      0.8279825625,                 0,                 0,                 0,      0.1406766646,    -0.01143038276,      0.8282042079,                 0,       37.11248287
          0,           0,           4,      -1.145701144,        1.25699923,       1.341339628,       4.335036246,      0.0193256866,      0.8492384053,                 0,                 0,                 0,      0.1358582482,    -0.01527800755,      0.8493208661,                 0,       43.94350498
          0,           0,           5,      -1.250457897,        1.19834779,       1.223208562,       4.231060326,     0.01650964883,      0.8634749845,                 0,                 0,                 0,      0.1330965517,    -0.01867153413,      0.8634309418,                 0,       52.30123266
          0,           0,           6,      -1.368762438,       1.133948598,       1.098911029,        4.11295084,     0.01491456578,      0.8744567235,                 0,                 0,                 0,      0.1316431485,    -0.02071255638,      0.8743386047,                 0,       58.63105478
          0,           0,           7,      -1.490685979,         1.0274221,      0.9499009133,       3.991137937,      0.0138545691,       0.882588837,                 0,                 0,                 0,      0.1308513796,     -0.0221028771,      0.8824207994,                 0,       63.70380996
          0,           0,           8,      -1.595089805,      0.9289662753,      0.8044806886,       3.887386831,     0.01322167071,      0.8885338656,                 0,                 0,                 0,      0.1304714305,    -0.02297737862,      0.8883351186,                 0,       67.20284333
          0,           0,           9,       -1.68853261,      0.8419544375,      0.7083723678,       3.794781327,     0.01283965372,      0.8931454933,                 0,                 0,                 0,      0.1303897717,    -0.02354690036,      0.8929273613,                 0,       69.56149385
          0,           0,          10,      -1.766683765,      0.7593756335,      0.6164103754,        3.71719464,     0.01261146229,      0.8967660569,                 0,                 0,                 0,      0.1304330204,    -0.02392236024,       0.896535627,                 0,       71.10722264
          0,           0,          11,      -1.842370268,      0.6777919781,      0.5180916338,       3.641786729,     0.01245372399,      0.8993025559,                 0,                 0,                 0,      0.1304151094,    -0.02418327383,      0.8990635971,                 0,       72.21153743
          0,           0,          12,      -1.923339648,      0.5901917446,      0.4192608886,       3.560997574,     0.01232246665,      0.9007940627,                 0,                 0,                 0,      0.1302732319,    -0.02437516814,      0.9005485205,                 0,       73.10176514
          0,           0,          13,      -2.006975876,      0.4989244964,      0.3155172263,       3.477594032,     0.01219705018,      0.9014539738,                 0,                 0,                 0,      0.1300256325,     -0.0245273573,      0.9012027761,                 0,       73.90753995
          0,           0,          14,      -2.090714525,      0.4109283246,      0.2084408097,        3.39426513,     0.01207221747,      0.9015669218,                 0,                 0,                 0,      0.1297127699,    -0.02465668657,      0.9013105462,                 0,       74.68113659
          0,           0,          15,      -2.177016555,      0.3271468654,      0.1072029574,       3.308528936,     0.01194877723,      0.9013328088,                 0,                 0,                 0,      0.1293698356,    -0.02477048947,      0.9010716001,                 0,       75.43305827
          0,           0,          16,      -2.268748532,      0.2434604039,     0.01540492173,       3.217416797,     0.01183510207,      0.9009316728,                 0,                 0,                 0,      0.1290452064,     -0.0248677329,      0.9006661671,                 0,       76.12369265
          0,           0,          17,      -2.363157058,      0.1582627856,    -0.07393931921,       3.123508827,     0.01174389753,      0.9005691634,                 0,                 0,                 0,      0.1287924795,    -0.02494409754,      0.9003002439,                 0,       76.68401069
          0,           0,          18,      -2.452641657,     0.07409131224,      -0.164829527,       3.034167615,     0.01168132496,      0.9003705679,                 0,                 0,                 0,      0.1286348246,    -0.02499852982,      0.9000992648,                 0,       77.07777765
          0,           0,          19,      -2.531358165,   -0.006250766775,     -0.2539289133,        2.95510041,     0.01164531746,      0.9003491835,                 0,                 0,                 0,      0.1285608607,     -0.0250336365,      0.9000764316,                 0,       77.31426701
          0,           0,          20,        -2.5989628,    -0.08217620111,     -0.3371410621,       2.886740654,     0.01162779293,      0.9004412384,                 0,                 0,                 0,      0.1285384829,    -0.02505489569,      0.9001676964,                 0,       77.43870602
          0,           0,          21,      -2.662127709,     -0.1553032027,     -0.4155103837,       2.822701764,     0.01161982748,      0.9005587246,                 0,                 0,                 0,      0.1285344051,    -0.02506763949,      0.9002847606,                 0,       77.50190146
          0,           0,          22,      -2.727819569,     -0.2277991821,     -0.4924053624,       2.756244322,      0.0116147905,      0.9006275831,                 0,                 0,                 0,      0.1285252502,    -0.02507547675,      0.9003533569,                 0,       77.54144021
